,0
PREV_CNT_PAYMENT_MEAN,0.0023780754
NAME_FAMILY_STATUS_Widow,0.0023676592
LIVINGAREA_MODE,0.002346547
ORGANIZATION_TYPE_Government,0.002340867
APARTMENTS_AVG,0.0023355011
NONLIVINGAPARTMENTS_MEDI,0.0023279486
FLAG_DOCUMENT_8,0.002308833
FLOORSMAX_MODE,0.0023028373
LIVINGAPARTMENTS_MEDI,0.0023009179
APPROVED_APP_CREDIT_PERC_MAX,0.0022886887
PREV_AMT_ANNUITY_MEAN,0.0022729835
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00225706
COMMONAREA_MODE,0.0022489785
YEARS_BEGINEXPLUATATION_AVG,0.0022483482
AMT_REQ_CREDIT_BUREAU_HOUR,0.0022424671
BASEMENTAREA_MEDI,0.0022340508
BASEMENTAREA_MODE,0.0022281336
ORGANIZATION_TYPE_Construction,0.0022281315
BASEMENTAREA_AVG,0.0022269934
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0022261315
FLOORSMIN_AVG,0.0022118483
OCCUPATION_TYPE_Low_skill_Laborers,0.0021886625
PAYMENT_RATE,0.0021810872
POS_NAME_CONTRACT_STATUS_Active_MEAN,0.002139241
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.002135942
NAME_HOUSING_TYPE_House___apartment,0.0021320789
LANDAREA_AVG,0.002131149
CC_CNT_INSTALMENT_MATURE_CUM_MAX,0.0021286693
ORGANIZATION_TYPE_Services,0.0021244052
ORGANIZATION_TYPE_Self_employed,0.002082992
OBS_60_CNT_SOCIAL_CIRCLE,0.0020683205
OWN_CAR_AGE,0.0020297791
DEF_60_CNT_SOCIAL_CIRCLE,0.00201936
NAME_FAMILY_STATUS_Civil_marriage,0.0020171371
NONLIVINGAREA_MODE,0.0020057121
FLAG_DOCUMENT_3,0.0020055561
INSTAL_PAYMENT_DIFF_MEAN,0.0019983628
AMT_GOODS_PRICE,0.001961937
DAYS_ID_PUBLISH,0.0019563371
LIVINGAREA_AVG,0.0019523695
OBS_30_CNT_SOCIAL_CIRCLE,0.0019456218
APARTMENTS_MEDI,0.0019372843
FLOORSMIN_MEDI,0.0019105467
REG_CITY_NOT_LIVE_CITY,0.0019034657
AMT_ANNUITY,0.0019034209
TOTALAREA_MODE,0.0019022073
APPROVED_APP_CREDIT_PERC_MEAN,0.0018983305
FLOORSMIN_MODE,0.001897835
PREV_HOUR_APPR_PROCESS_START_MEAN,0.0018660931
PREV_APP_CREDIT_PERC_MAX,0.0018587075
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.0018565248
NAME_FAMILY_STATUS_Separated,0.0018547466
APARTMENTS_MODE,0.0018491349
DAYS_REGISTRATION,0.0018472257
NAME_INCOME_TYPE_Commercial_associate,0.0018467831
CODE_GENDER,0.0018457529
NAME_HOUSING_TYPE_Rented_apartment,0.0018434261
WALLSMATERIAL_MODE_Mixed,0.0018399961
DAYS_BIRTH,0.0018214419
OCCUPATION_TYPE_Private_service_staff,0.0018018535
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0017958578
ENTRANCES_AVG,0.0017938729
FLAG_DOCUMENT_5,0.0017636616
NONLIVINGAREA_AVG,0.001755033
FLAG_PHONE,0.0017539716
INSTAL_DBD_SUM,0.0017329005
ORGANIZATION_TYPE_Business_Entity_Type_3,0.00172951
CC_MONTHS_BALANCE_MEAN,0.0017191756
YEARS_BEGINEXPLUATATION_MEDI,0.00171722
DAYS_EMPLOYED,0.0017147891
REGION_RATING_CLIENT_W_CITY,0.0017035891
LIVINGAREA_MEDI,0.0017021598
ELEVATORS_AVG,0.0017020213
CC_AMT_PAYMENT_CURRENT_MAX,0.0017020074
YEARS_BEGINEXPLUATATION_MODE,0.0017006552
FLAG_OWN_CAR,0.0016938436
AMT_REQ_CREDIT_BUREAU_QRT,0.0016877959
APPROVED_DAYS_DECISION_MIN,0.0016816643
DAYS_EMPLOYED_PERC,0.0016701808
CNT_CHILDREN,0.001669027
ENTRANCES_MEDI,0.0016688899
INSTAL_DBD_MEAN,0.0016438791
FLOORSMAX_AVG,0.0016436136
HOUR_APPR_PROCESS_START,0.0016411233
INCOME_CREDIT_PERC,0.0016397685
ORGANIZATION_TYPE_Housing,0.001635475
NAME_FAMILY_STATUS_Single___not_married,0.0016319238
OCCUPATION_TYPE_Sales_staff,0.0016182774
WALLSMATERIAL_MODE_Panel,0.0016140529
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0016070172
DAYS_LAST_PHONE_CHANGE,0.0015996086
NAME_HOUSING_TYPE_Co_op_apartment,0.00158143
ANNUITY_INCOME_PERC,0.0015784254
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0015646879
FLAG_DOCUMENT_6,0.001554449
LANDAREA_MEDI,0.0015501698
NAME_TYPE_SUITE_Unaccompanied,0.0015463781
INCOME_PER_PERSON,0.0015441963
NAME_INCOME_TYPE_Working,0.0015380193
FLAG_WORK_PHONE,0.0015360289
AMT_INCOME_TOTAL,0.0015298838
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,0.0015284031
FONDKAPREMONT_MODE_reg_oper_account,0.0015237028
