feature,importance
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,9.7774806e-05
ORGANIZATION_TYPE_Realtor,9.765579e-05
ORGANIZATION_TYPE_Electricity,9.28515e-05
PREV_CHANNEL_TYPE_Stone_MEAN,8.0714206e-05
PREV_NAME_TYPE_SUITE_Family_MEAN,6.393836e-05
APPROVED_AMT_CREDIT_MEAN,4.4874152e-05
PREV_APP_CREDIT_PERC_MAX,3.6415917e-05
POS_NAME_CONTRACT_STATUS_Demand_MEAN,0.0
POS_SK_DPD_MEAN,0.0
POS_SK_DPD_DEF_MAX,0.0
POS_NAME_CONTRACT_STATUS_Completed_MEAN,0.0
POS_SK_DPD_DEF_MEAN,0.0
POS_SK_DPD_MAX,0.0
POS_NAME_CONTRACT_STATUS_Returned_to_the_store_MEAN,0.0
ORGANIZATION_TYPE_Trade__type_5,0.0
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0.0
POS_NAME_CONTRACT_STATUS_Approved_MEAN,0.0
POS_MONTHS_BALANCE_SIZE,0.0
BURO_CREDIT_CURRENCY_currency_2_MEAN,0.0
POS_NAME_CONTRACT_STATUS_nan_MEAN,0.0
INSTAL_PAYMENT_DIFF_VAR,0.0
CC_MONTHS_BALANCE_SUM,0.0
CC_MONTHS_BALANCE_MEAN,0.0
OCCUPATION_TYPE_Secretaries,0.0
INSTAL_COUNT,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Industry__type_10,0.0
ORGANIZATION_TYPE_Industry__type_13,0.0
ORGANIZATION_TYPE_Industry__type_5,0.0
INSTAL_PAYMENT_DIFF_SUM,0.0
POS_COUNT,0.0
INSTAL_PAYMENT_DIFF_MEAN,0.0
ORGANIZATION_TYPE_Industry__type_8,0.0
ORGANIZATION_TYPE_Industry__type_9,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Transport__type_1,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade__type_4,0.0
ORGANIZATION_TYPE_Trade__type_6,0.0
REFUSED_RATE_DOWN_PAYMENT_MEAN,0.0
REFUSED_CNT_PAYMENT_SUM,0.0
APPROVED_APP_CREDIT_PERC_MEAN,0.0
ORGANIZATION_TYPE_XNA,0.0
APPROVED_RATE_DOWN_PAYMENT_MEAN,0.0
APPROVED_RATE_DOWN_PAYMENT_MAX,0.0
APPROVED_RATE_DOWN_PAYMENT_MIN,0.0
APPROVED_HOUR_APPR_PROCESS_START_MEAN,0.0
APPROVED_HOUR_APPR_PROCESS_START_MAX,0.0
APPROVED_AMT_GOODS_PRICE_MEAN,0.0
APPROVED_AMT_GOODS_PRICE_MAX,0.0
APPROVED_AMT_DOWN_PAYMENT_MEAN,0.0
APPROVED_AMT_DOWN_PAYMENT_MAX,0.0
APPROVED_AMT_DOWN_PAYMENT_MIN,0.0
APPROVED_APP_CREDIT_PERC_VAR,0.0
APPROVED_APP_CREDIT_PERC_MAX,0.0
APPROVED_DAYS_DECISION_MEAN,0.0
HOUSETYPE_MODE_terraced_house,0.0
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
APPROVED_AMT_APPLICATION_MEAN,0.0
EMERGENCYSTATE_MODE_Yes,0.0
APPROVED_AMT_ANNUITY_MEAN,0.0
APPROVED_AMT_ANNUITY_MAX,0.0
BURO_DAYS_CREDIT_MEAN,0.0
PREV_PRODUCT_COMBINATION_nan_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS_others_without_interest_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS_other_with_interest_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS_mobile_without_interest_MEAN,0.0
ORGANIZATION_TYPE_University,0.0
APPROVED_CNT_PAYMENT_SUM,0.0
REFUSED_CNT_PAYMENT_MEAN,0.0
REFUSED_AMT_DOWN_PAYMENT_MAX,0.0
REFUSED_DAYS_DECISION_MEAN,0.0
REFUSED_DAYS_DECISION_MAX,0.0
REFUSED_DAYS_DECISION_MIN,0.0
OCCUPATION_TYPE_Realty_agents,0.0
REFUSED_RATE_DOWN_PAYMENT_MAX,0.0
REFUSED_RATE_DOWN_PAYMENT_MIN,0.0
REFUSED_HOUR_APPR_PROCESS_START_MEAN,0.0
REFUSED_HOUR_APPR_PROCESS_START_MAX,0.0
REFUSED_AMT_GOODS_PRICE_MEAN,0.0
REFUSED_AMT_GOODS_PRICE_MAX,0.0
REFUSED_AMT_GOODS_PRICE_MIN,0.0
REFUSED_AMT_DOWN_PAYMENT_MEAN,0.0
REFUSED_AMT_DOWN_PAYMENT_MIN,0.0
REFUSED_AMT_ANNUITY_MIN,0.0
REFUSED_APP_CREDIT_PERC_VAR,0.0
REFUSED_APP_CREDIT_PERC_MEAN,0.0
REFUSED_APP_CREDIT_PERC_MAX,0.0
REFUSED_APP_CREDIT_PERC_MIN,0.0
REFUSED_AMT_CREDIT_MEAN,0.0
REFUSED_AMT_CREDIT_MAX,0.0
REFUSED_AMT_CREDIT_MIN,0.0
REFUSED_AMT_APPLICATION_MEAN,0.0
REFUSED_AMT_APPLICATION_MAX,0.0
REFUSED_AMT_APPLICATION_MIN,0.0
REFUSED_AMT_ANNUITY_MEAN,0.0
REFUSED_AMT_ANNUITY_MAX,0.0
CC_MONTHS_BALANCE_VAR,0.0
NAME_INCOME_TYPE_Unemployed,0.0
OCCUPATION_TYPE_IT_staff,0.0
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.0
CC_SK_DPD_DEF_VAR,0.0
CC_SK_DPD_DEF_SUM,0.0
CC_SK_DPD_DEF_MEAN,0.0
CC_SK_DPD_DEF_MAX,0.0
CC_SK_DPD_DEF_MIN,0.0
CC_SK_DPD_VAR,0.0
CC_SK_DPD_SUM,0.0
CC_SK_DPD_MEAN,0.0
CC_SK_DPD_MAX,0.0
CC_SK_DPD_MIN,0.0
CC_CNT_INSTALMENT_MATURE_CUM_VAR,0.0
CC_CNT_INSTALMENT_MATURE_CUM_SUM,0.0
FLAG_MOBIL,0.0
CC_NAME_CONTRACT_STATUS_Active_MAX,0.0
FLAG_CONT_MOBILE,0.0
