feature,importance,fold
BURO_CREDIT_TYPE_Loan_for_business_development_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,0,1
BURO_CREDIT_TYPE_Real_estate_loan_MEAN,0,1
BURO_CREDIT_TYPE_Unknown_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,0,1
BURO_STATUS_1_MEAN_MEAN,0,1
BURO_STATUS_2_MEAN_MEAN,0,1
BURO_STATUS_3_MEAN_MEAN,0,1
BURO_STATUS_C_MEAN_MEAN,0,1
BURO_STATUS_X_MEAN_MEAN,0,1
BURO_STATUS_nan_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,0,1
ACTIVE_DAYS_CREDIT_MAX,0,1
ACTIVE_DAYS_CREDIT_MEAN,0,1
ACTIVE_DAYS_CREDIT_VAR,0,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0,1
ACTIVE_AMT_CREDIT_SUM_MAX,0,1
ACTIVE_AMT_CREDIT_SUM_MEAN,0,1
ACTIVE_AMT_CREDIT_SUM_SUM,0,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,0,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,0,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,0,1
ACTIVE_AMT_ANNUITY_MAX,0,1
ACTIVE_AMT_ANNUITY_MEAN,0,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,0,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,0,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,0,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0,1
CLOSED_DAYS_CREDIT_MIN,0,1
CLOSED_DAYS_CREDIT_MAX,0,1
CLOSED_DAYS_CREDIT_MEAN,0,1
CLOSED_DAYS_CREDIT_VAR,0,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_MAX,0,1
CLOSED_AMT_CREDIT_SUM_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_SUM,0,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,0,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,0,1
CLOSED_AMT_ANNUITY_MAX,0,1
CLOSED_AMT_ANNUITY_MEAN,0,1
CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
CLOSED_MONTHS_BALANCE_MIN_MIN,0,1
CLOSED_MONTHS_BALANCE_MAX_MAX,0,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,0,1
PREV_AMT_ANNUITY_MIN,0,1
PREV_AMT_ANNUITY_MAX,0,1
PREV_AMT_ANNUITY_MEAN,0,1
PREV_AMT_APPLICATION_MIN,1,1
PREV_AMT_APPLICATION_MAX,1,1
PREV_AMT_APPLICATION_MEAN,0,1
PREV_AMT_CREDIT_MIN,1,1
PREV_AMT_CREDIT_MAX,0,1
PREV_AMT_CREDIT_MEAN,0,1
PREV_APP_CREDIT_PERC_MIN,0,1
PREV_APP_CREDIT_PERC_MAX,2,1
PREV_APP_CREDIT_PERC_MEAN,0,1
PREV_APP_CREDIT_PERC_VAR,0,1
PREV_AMT_DOWN_PAYMENT_MIN,0,1
PREV_AMT_DOWN_PAYMENT_MAX,0,1
PREV_AMT_DOWN_PAYMENT_MEAN,0,1
PREV_AMT_GOODS_PRICE_MIN,0,1
PREV_AMT_GOODS_PRICE_MAX,0,1
PREV_AMT_GOODS_PRICE_MEAN,0,1
PREV_HOUR_APPR_PROCESS_START_MIN,0,1
PREV_HOUR_APPR_PROCESS_START_MAX,0,1
PREV_HOUR_APPR_PROCESS_START_MEAN,0,1
PREV_RATE_DOWN_PAYMENT_MIN,0,1
PREV_RATE_DOWN_PAYMENT_MAX,0,1
PREV_RATE_DOWN_PAYMENT_MEAN,0,1
PREV_DAYS_DECISION_MIN,2,1
PREV_DAYS_DECISION_MAX,0,1
PREV_DAYS_DECISION_MEAN,0,1
PREV_CNT_PAYMENT_MEAN,0,1
PREV_CNT_PAYMENT_SUM,0,1
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,1,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home___land_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasification___water_supply_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Wedding___gift___holiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,1,1
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0,1
PREV_CODE_REJECT_REASON_HC_MEAN,0,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0,1
PREV_CODE_REJECT_REASON_SCO_MEAN,0,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,0,1
PREV_CODE_REJECT_REASON_XAP_MEAN,0,1
PREV_CODE_REJECT_REASON_XNA_MEAN,0,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,0,1
PREV_NAME_TYPE_SUITE_Family_MEAN,0,1
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,0,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0,1
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,0,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0,1
PREV_NAME_TYPE_SUITE_nan_MEAN,0,1
PREV_NAME_CLIENT_TYPE_New_MEAN,0,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Photo___Cinema_Equipment_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,0,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,0,1
PREV_NAME_PORTFOLIO_POS_MEAN,0,1
PREV_NAME_PORTFOLIO_XNA_MEAN,0,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,1,1
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
PREV_CHANNEL_TYPE_AP___Cash_loan__MEAN,0,1
PREV_CHANNEL_TYPE_Car_dealer_MEAN,0,1
PREV_CHANNEL_TYPE_Channel_of_corporate_sales_MEAN,0,1
PREV_CHANNEL_TYPE_Contact_center_MEAN,0,1
PREV_CHANNEL_TYPE_Country_wide_MEAN,0,1
PREV_CHANNEL_TYPE_Credit_and_cash_offices_MEAN,0,1
PREV_CHANNEL_TYPE_Regional___Local_MEAN,0,1
PREV_CHANNEL_TYPE_Stone_MEAN,0,1
PREV_CHANNEL_TYPE_nan_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Auto_technology_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_MLM_partners_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0,1
